511,21
647,32
620,25
645,25
620,23
648,30
667,25
701,39
697,35
702,39
692,32
702,38
726,41
692,36
725,38
729,33
736,33
751,31
733,40
769,37
745,31
778,42
746,38
777,40
780,38
827,35
830,31
804,26
844,31
848,34
863,35
875,38
910,35
887,32
913,38
935,34
976,40
959,35
987,37
939,33
968,39
986,34
981,43
997,39
981,28
993,35
991,31
992,37
1017,43
992,37
997,33
1010,34
992,32
1007,38
994,35
1060,39
988,39
1011,39
1030,37
992,37
1034,33
1050,39
1012,32
1072,36
1018,30
1034,26
1054,35
1036,30
1029,33
1086,34
1059,34
1047,36
1034,26
1058,32
1046,35
1073,35
1049,29
1045,36
1036,31
1022,28
1086,33
1072,33
1052,35
1101,31
1053,33
1072,29
1048,28
1060,31
1079,37
1093,29
1078,33
1073,27
1049,33
1073,31
1087,34
1073,24
1071,31
1080,39
1095,36
1068,32
1094,32
1061,39
1054,30
1116,37
1087,26
1068,27
1091,30
1072,32
1067,31
1073,34
1097,33
1069,35
1084,28
1065,28
1078,34
1059,40
1089,34
1063,30
1073,26
1074,31
1109,37
1098,28
1041,24
1073,30
1076,27
1055,34
1054,32
1057,25
1051,28
1055,31
1064,30
1036,24
1096,38
1045,29
1052,26
1037,35
1050,29
1055,29
1051,26
1059,31
1032,31
1026,32
1022,25
996,26
1050,25
992,27
991,27
1013,32
998,29
1036,27
995,29
990,24
1017,26
1014,24
1018,27
1009,31
993,28
1001,28
988,30
965,26
996,29
999,25
966,29
972,33
1019,24
970,38
978,33
974,26
946,25
963,26
954,26
938,24
973,23
985,29
968,30
919,28
934,25
958,26
929,26
933,23
939,28
928,25
916,25
960,29
930,39
934,37
905,32
926,28
911,30
927,29
928,34
903,23
914,30
910,32
917,24
891,27
921,38
881,21
933,27
887,30
858,29
890,21
914,27
859,27
869,33
878,35
854,29
854,35
876,25
854,21
850,30
832,28
849,32
875,20
892,32
850,29
846,33
845,27
820,22
845,27
821,28
822,28
799,21
812,19
840,22
820,26
830,27
803,25
839,21
811,26
830,24
812,23
827,22
827,25
824,25
859,32
837,29
847,30
802,26
831,29
872,32
861,45
862,30
841,31
823,27
815,39
817,27
806,25
807,30
818,26
827,25
807,27
825,28
778,28
768,23
815,26
797,28
816,24
829,27
823,31
828,29
889,39
875,32
909,38
885,34
916,38
955,33
953,38
934,36
939,43
957,33
985,37
993,42
1025,47
1171,65
1309,60
1371,63
1600,79
1593,85
1664,80
1764,103
1737,88
1748,101
1712,96
1754,99
1697,83
1733,96
1699,89
1693,93
1667,75
1646,85
1656,79
1570,75
1617,91
1585,76
1549,73
1534,82
1525,71
1461,74
1479,66
1468,71
1461,69
1439,63
1389,66
1390,75
1416,65
1399,69
1323,65
1335,72
1354,65
1336,56
1279,59
1306,60
1273,61
1277,66
1254,60
1272,65
1242,59
1233,67
1249,62
1183,53
1201,50
1172,56
1168,55
1159,53
1096,52
1171,52
1125,47
1099,53
1096,51
1103,52
1077,52
1089,46
1065,43
1064,52
1078,49
1045,43
1072,53
1047,44
1018,41
1022,44
1020,43
998,36
1008,38
978,41
967,40
972,41
980,41
987,33
947,47
973,30
960,34
960,37
958,37
964,36
941,36
925,39
944,38
913,31
906,35
917,38
919,35
912,36
942,29
905,32
876,30
891,33
893,33
906,39
866,29
877,37
890,39
905,40
886,29
859,25
861,35
840,26
841,33
847,32
841,30
852,30
828,29
824,27
849,32
848,29
820,32
884,29
843,28
863,35
822,30
843,31
858,40
847,30
807,30
852,42
831,29
806,29
808,25
823,25
818,25
